recipe_name,description,ingredients,methods
"
                Tripe Pepper Soup
            ","
                    Enjoy the rich flavours of crayfish, goat, tripe and ginger with this delicious pepper soup. It’s perfect for entertaining a crowd – simply pair it with your favourite starch!
                ","
                ,1½ lbs goat meat and offal,
4 tbsp. pepper soup spices,
3 habanero peppers; roughly blended,
Half of a small onion; finely chopped,
                ,½ tsp fresh ginger; grated,
A handful of basil or scent leaves; minced,
1½ tsp. crayfish powder,
                ,1 tsp. cooking oil,
Bouillon,
Salt to taste","Wash the offal thoroughly especially the round-about which should be turned inside out during the washing. Cut these into medium pieces, just big enough to be chewed in one go.,
,Season the meat with 2 tbsps of the pepper soup spices.,
,Add the habaneros, rub in some salt, bouillon, and oil. Set aside to marinate for about 10 minutes.,Place meat in a pot and pour in water to slightly above the level of the meat. Add the remaining pepper soup spice, onion and ginger.,
,Season to taste and bring to a boil.,
,Cook until the meat is tender and taste for seasoning.,
,Stir in the crayfish and basil, cook for another 3 minutes and serve."
"
                Native Jollof Rice
            ","
                    If you grew up in Nigeria you more than likely had the pleasure of having native jollof rice before. The rice dish, often also called concoction, is a popular Nigerian dish that combines the unique flavours of the country. Get your ingredients from your local Shoprite store and make this delicious meal at home.
                ","
                ,2 cups Regular Rice,
Chopped Ugu vegetable,
1 tsp salt,
1 Seasoning Cube,
1 medium sized Onion,
2 Fresh yellow peppers,
                ,1/4 cup Smoked Big Prawn,
1 Cup Ponmo cut in pieces,
1 tbs Ground Crayfish,
Blend 10 plum tomatos,2 habanero pepper, 1 onion mixture,
                ,1 big Smoked catfish,
2 Chopped Paprika Chilli,
1 Chopped Habanero Pepper,
1/4 cup Palm Oil,
1 tbs Locust beans/Iru ","Par boil rice and boil pepper mixture (combination of tomato, pepper, and onion) till it is almost dry.,
,Heat up pot with palm oil, when it is hot add chopped onions, chopped peppers, locust beans, fry for 3 minutes.,
,Add roughly blended tomato mix, add crayfish, chopped ponmo, smoked catfish (in pieces) and smoked prawns, seasoning cube and salt. Allow this to fry till the oil floats to the top. ,Now add water, enough to cook the rice, then add the par boiled rice. Stir so that the ingredients will go around, then cover and allow to cook for 20 minutes/till rice is cooked. ,
"
"
                Goat Meat Pepper Soup
            ","
                    This pepper soup is a delicious Nigerian recipe that combines the aromatic flavours of ehuru with traditional goat’s meat. Don’t forget to add a generous amount of ground crayfish for extra flavour! Simply follow our easy step-by-step recipe and you’ll soon be enjoying a hearty portion of proudly Nigerian food.
                ","
                ,10 iwo/ehuru,
2 urheri/uda,
2 umilo/ulima,
1/2 tsb ataiko/atariko,
                ,21/2 tsb irugeje,
Scent leaves (optional),
4 tbsp. ground crayfish,
2 seasoning cubes,
                ,1 tsp. salt,
1 tbsp. ground pepper,
1 kg goat’s meat","Cut goat’s meat into bite-size pieces, wash and place in a pot with water, season with salt, onions and seasoning cubes. Allow to boil for 20 min. Add more water.,
,Crack open the umilo, gbafilo and iwo, blend the contents alongside ataiko and irugeje. Add all ground spices – pepper, ataiko, irugeje, iwo, umilo, gbafilo, crayfish and deseeded urheri into the pot as well. Alternatively, you can purchase pre-blended pepper soup spice and add 2 tablespoons.,
,Add some chopped fresh pepper.,
,Cover the pot and allow to cook – the pepper soup should be ready in 35 min.,
,Add scent leaves and allow to simmer for 5 min."
"
                Banana Bread
            ","
                    Whether it’s for tea time or a simple dessert, you can serve this one with fresh whipped cream, though it’s more than good enough to eat it as is. The best part of this loaf is how easy it is to get the best results. Be warned, though, it usually doesn’t last long after being taken out of the oven, so we suggest baking extra for the kids' lunch boxes.
                ","
                ,3 Very Ripe Bananas,
1/2 Cup Butter, Melted and Cooled,
1 3/4 Cups All Purpose Flour,
1 tsp. Baking Powder,
,
                ,1/4 tsp. Baking Soda,
3/4 Cup Sugar,
1/2 tsp. Ground Cinnamon,
                ,Pinch of Salt,
2 Eggs,
1/2 tsp. Vanilla Essence","Mash the very ripe bananas in a bowl with a potato masher. You don't need to blend it because you don't want a very smooth consistency.,
,Break and whisk eggs, then add to the mashed bananas. Add all wet ingredients: melted butter, vanilla essence. Combine the wet ingredients.,
,In another bowl, sift flour and add all dry ingredients: baking powder, baking soda, cinnamon, salt. Combine the dry ingredients properly.,
,Add the wet ingredients to dry ingredients and gently fold in. Don't mix it vigorously or for too long. You only need to combine it until everything is well mixed.  ,
,Rub the inside of a bread pan with butter and flour. This is to avoid the banana bread sticking to the pan.,
,Add banana bread mixture and place in a preheated oven at 350 degrees for 50 minutes. You can tell it is ready when you stick a toothpick in and it comes out clean.,
,Take out the banana bread and allow to cool for about 30 minutes before taking it out of the tin and slicing."
"
                Obe Eja Kika
            ","
                    If you enjoy hearty stew recipes, you should definitely try this hearty, healthy alternative prepared with fresh fish. It’s a delicious, nutritious meal that will certainly spice up your Soul Food dinner plans this winter.
                ","
                ,3 large smoked fish,
3 large pomo,
1 tbsp. iru,
4 medium ata rodo,
                ,6 medium tomatoes,
1 large tatashe,
1 medium onion,
½ cup crayfish,
                ,2 cooking spoons palm oil,
Seasoning and salt; to taste","Blend the fresh tomatoes, rodo, tatashe and crayfish.,
,Rinse the smoked fish in warm water with salt.,
,Season the pomo and set aside.,
,Pour the palm oil in a clean pot; once heated, add the onion and stir.,
,Add the iru and cook for 1 minute.,
,Add the blended mix and cook for 15 minutes.,
,Add the pomo and smoked fish, as well as seasoning and salt, to taste.,
,Cook for 10 minutes.,
"
"
                Brandy and Pepper Steak
            ","
                    This meal is tailored for taste and one of those special rump steak recipes that will have you feeling like a professional chef. After carefully peppering these juicy steaks, the finishing touch comes in when you set the brandy-soaked meat aflame. This not only sears in the flavour, but will set the mood alight too. Served with a lemon butter sauce, the rumps are a delectable, protein-rich dish and will pair well with a side salad and roast potatoes. Serves: 4
                ","
                ,30 ml black peppercorns, coarsely ground,
Coarse salt to taste,
100 g butter,
                ,4 rump steaks, each 200-300 g,
5 ml Worcestershire sauce ,
                , 25 ml lemon juice,
 25 ml brandy","Press the ground peppercorns onto the surface of the steaks.,
,Sprinkle a layer of salt in the bottom of a large pan or electric frying pan and heat until very hot. ,
,Place the steaks in the heated pan and fry on both sides until done as desired. ,
,Melt the butter, add the Worcestershire sauce and lemon juice, and pour over the meat in the pan.  ,
,Pour over the brandy and ignite immediately. When the flames die down serve the steaks immediately with the butter sauce and a mixed salad."
"
                Parfait
            ","
                    This decadent, fruity dessert is a great healthy alternative if you’ve got a craving for something delectably sweet. Feel free to chop and change fruit and quantities based on your taste.
                ","
                ,1 Cup Yoghurt,
1 Cup Hobnobs Biscuit (Ground),
                ,1 Cup Strawberries,
                ,1 Cup Blueberries,
","Wash strawberries and blueberries, then set aside to drain. Chop strawberries into bite sizes.,
,Roughly blend Hobnobs biscuit.,
,In a bowl or cup, place one layer of Hobnobs biscuit, then follow with a layer of yoghurt, followed by a layer of strawberries and blueberries.,
,Repeat the layered steps until your cup/bowl is full."
"
                Moi Moi
            ","
                    In this moi moi recipe, mackerel has been added to the mix to liven the taste up even more, making it a delicious snack for anyone to enjoy. Just remember: one of the secrets to moi moi is making sure the beans have been soaked properly and that your mixture is blended as smoothly as possible before cooking starts.
                ","
                ,4 cups beans (black-eye peas),
4 medium fresh peppers (rodo),
3 medium fresh bell peppers (tatashe),
1 small ginger (optional),
2 large boiled fish (mackerel),
,
                ,1 sachet tomato puree (optional),
1 cooking spoon groundnut oil,
Seasoning and salt to taste,
1 medium onion,
1 cup crayfish,
,
                ,6 boiled eggs,
Uma leaf (Thaumatococcus Daniellii) or another food wrapping of choice","Shred the boiled mackerel.,
,Soak and wash the beans to remove the coat.,
,Soak the washed beans in water for 3 hours, this will allow the beans to soften.,
,Blend the beans, rodo, tatashe, ginger, tomato puree (optional) and crayfish together with some water.,
,Pour the blended mixture into a boiler, add the groundnut oil, shredded fish, seasoning cubes and salt.,
,Add a little water, stir very well, then set aside.,
,Remove and wash the leaf stalks and set aside (they will be used as padding for the base inside the pot).,
,Wash the leaves with salt water and a foam sponge to remove all dirt and dust. Then rinse them in plenty of water.,
,Pad the base of your pot with the uma leaf stalks. This will prevent the wrapped moi moi from burning.,
,Add a small amount of water (the water should barely cover the stalks) to the pot and boil.,
,Place 2 uma leaves on top of each other, fold them into a cone, bend the pointed end and hold it there. Put some moi moi mix into the cone. Fold the end open and gently place the wrap in the pot of boiling water. Do this until the bean mixture is finished. Avoid putting too much bean mixture into one cone to avoid spillage.,
,Cook for 45 minutes. At intervals, add half a cup of water to the pot to avoid burning.,
"
"
                Moyoo
            ","
                    Fried croaker fish and vegetables, it hardly gets better. Made using fresh, raw vegetables, this moyoo recipe is sure to awaken your taste buds. Some have even called it ‘fast-food’ - purely because it’s one of the fastest recipes to make. We suggest serving it with eba, yam or eko, but feel free to use your own favourite swallow if you wish.
                ","
                ,1 piece large fresh fish (croaker),
4 pieces beef,
6 pieces fresh tomatoes,
,
                ,2 pieces fresh pepper (rhodo),
1 medium onion,
                ,1 tbsp. groundnut oil,
Seasoning/salt to taste","Wash the fish, spice it and fry until it turns brown.,
,Spice and boil the meat until it’s tender, then fry.,
,Wash the tomatoes and pepper. Pound in a mortar or simply grind with a manual grinder (do not make it too smooth).,
,Add sliced onions and seasoning to the tomato mixture.,
,Then add the fried fish and meat.,
,Finally, pour 1 tablespoon hot groundnut oil to the mixture.,
,Serve with eba, yam or eko."
"
                Native Bolognese
            ","
                    With ingredients like spinach and crayfish, this spaghetti bolognese recipe gives the traditional Italian dish a true African spin. With its delicious aroma and hearty flavours, it will become a family favourite after the very first bite.
                ","
                ,5 medium fresh tomatoes,
2 medium fresh peppers (rhodo),
1 cup spinach leaves, washed and shredded,
,
                ,3 small garlic cloves  ,
½ cup crayfish,
2 medium fresh fish or beef portions of choice,
                ,1 medium onion,
1 cooking spoon groundnut oil,
1 pack of spaghetti,
Seasoning/salt, to taste","Blend the fresh tomatoes, peppers, garlic and crayfish. Set aside.,
,Wash, spice and parboil the fish or meat.,
,Put a pot on the fire and add the groundnut oil when it is hot. Add the onions and when they turn golden, add the blended mixture. ,
,Cook for 20 minutes.,
,Add the seasoning and the fish/beef and cook for 5 minutes.,
,Take out the fish/beef and add 3 cups of water to the pot, allowing it to boil. Add the spaghetti, stir and cook for 20 minutes (stir ,
,in-between to prevent the pasta from sticking together).,
,Add the spinach leaves, stir and cook for 2 minutes.,
,Serve with the fish or beef portions."
"
                Ofada Sauce Ayamase
            ","
                    Whether you know it as ayamase or ofada stew, the traditional dish’s irresistible flavours are famous for good reason. Here, we’ve used it as inspiration for an easy-to-prepare, delicious and nutritious pasta sauce. It will definitely put a smile on your little one’s face.
                ","
                ,8 medium assorted meat pieces (you can use fish, depending on the age of the child),
2 medium pomo,
4 large bell peppers (green),
                ,2 fresh peppers (Rhodo),
1 medium onion,
1/2 cup crayfish,
                ,1 cooking spoon iru (locust beans),
2 cooking spoons palm oil,
Seasoning/salt; to taste","Wash and spice the meat, cook until tender then set aside.,
,Blend the green bell peppers, crayfish, half of the onions and half of the iru, set aside.,
,Put a clean pot on the fire, add the red oil then cover the pot to allow bleaching (till the oil changes colour).,
,Remove the pot off the fire and allow the oil to cool.,
,Return to the fire, add the remaining onions and iru, and allow to fry for 3 min.,
,Add the cooked meat (if you are using fish, add it towards the end) and allow to fry for 3 min.,
,Add the blended mixture and allow to fry for 30 min. (until it is properly fried and you can see the oil).,
,Add the seasoning/salt to taste, and allow to fry for 5 min.,
,Remove the excess oil before serving.,
,Serve with macaroni, or any pasta/rice of choice."
"
                Ogbono Soup
            ","
                    This ogbono soup recipe is not only surprisingly easy to make, but it’s filled with moreish meaty flavours, with beef, stockfish and pomo in the mix. With its variety of scrumptious textures, the soup is delicious with fufu or eba, but feel free to try it with any other swallow of your choice.
                ","
                ,1 cup ogbono seed,
Assorted meat, beef,
Dry/roasted fish,
Stockfish,
Pomo (cow skin),
,
                ,Cameroon/dry pepper,
½ cup crayfish,
3 cooking spoons palm oil,
                ,Ugu (pumpkin leaves) or bitter leaf,
Seasoning,
Salt, to taste","Shred and wash the ugu (pumpkin leaves).,
,Grind the ogbono, crayfish and cameroon pepper with a dry mill. Pour in a bowl, add a little palm oil and mix together until it dissolves.,
,Wash and cook the assorted meat, stockfish, roasted fish and pomo until tender. Remove from the pot. Add water (adjust amount according to the thickness you want) to the remaining stock in the pot.,
,Add palm oil and boil for a bit, then add the ogbono and keep stirring until it begins to thicken and draw. Add more water if it’s too thick and keep stirring. Cook for about 15 minutes, add the assorted meat, stockfish, roasted fish, pomo, seasoning and salt to taste.,
,Cook for 3 minutes. Add your ugu leaves and cook for another minute. Remove from the heat.,
,Serve with fufu, eba, etc."
"
                Oha Soup
            ","
                    Are you looking for lip-smackingly delicious meal ideas? If so, serve this mouth-watering oha soup with garri swallow for a truly exceptional dish. The combination of cocoyams, beef chunks and fish is made even better with the addition of oha leaves and ogiri. 
                ","
                ,5 medium cocoyams,
8 medium assorted beef pieces,
3 large pomo,
3 medium dried fish,
1 cooking spoon ground crayfish,
                ,1 tbsp. pepper,
1 medium onion,
1 tsp. ogiri or iru (locust beans),
                ,1 medium bunch oha leaves,
2 cooking spoons palm oil,
Seasoning/salt, to taste","Wash and cook the cocoyams. When they are well cooked, remove the peels and pound them in a mortar or blend with a little bit of water until smooth.,
,Wash and spice the assorted meat pieces and dry fish. Cook until tender.,
,Add the pepper, crayfish, ogiri, palm oil and seasoning and cook for another 15 minutes.,
,Add the cocoyam paste in small lumps, cover the pot and cook for 10 minutes. Add more water if the soup is too thick and stir very well, then add the oha leaves and simmer for 5 minutes.,
,Serve with eba, garri or any swallow of choice.,
"
"
                Palm Oil Stew
            ","
                    Being a well-known, traditional Nigerian dish, every home should have a good palm oil stew recipe. Give this one a try, it’s perfect if you’re looking for winter dinner ideas and will go down especially well with those who love croaker fish.
                ","
                ,2 medium fresh fish (croaker fish),
4 big kpomo (cow skin),
8 pieces fresh tomato,
4 pieces fresh pepper,
                ,1 medium onion,
1 cooking spoon ground crayfish,
1 tbsp. iru (locust beans),
                ,2 sachets tomato puree,
2 cooking spoons palm oil,
Seasoning/salt to taste","Wash, spice and par-boil the fish and kpomo.,
,Wash and blend the tomatoes and pepper.,
,Pour red oil into a pot, when it’s hot, add the iru, onion and tomato puree. Fry for a minute.,
,Add the blended tomato mixture, boil for 20 minutes (until it begins to fry).,
,Add the fish, kpomo and seasoning.,
,Mix the ground crayfish with little water (into a paste) and add to the stew.,
,Fry for 2 minutes. Remove from the fire.,
,Serve with okra and wheat or rice, pasta, or any swallow of choice."
"
                Peppered Meat with Garri
            ","
                    Aren’t these bites beautiful and scrumptious? Between its perfect combination of taste, tanginess and textures, there’s no doubt about it, you’ll definitely make an impression with this colourful peppered meat recipe and some garri on the side.
                ","
                ,10 medium pieces of meat (beef),
2 large fresh bell peppers (tatashe),
4 medium fresh peppers (rodo),
3 medium garlic cloves,
,
                ,1 medium onion,
½ (half) cup crayfish,
2 cooking spoons groundnut oil,
                ,Seasoning/salt to taste,
Garri (cassava flakes) as desired","Wash, spice and boil the meat for 15 minutes. Fry and then set aside.,
,Roughly blend the fresh pepper, onions, garlic and crayfish together into a mixture.,
,Heat 1 cooking spoon of groundnut oil in a clean pot and fry onions until brown. Add the blended mixture and fry for 15 minutes, until all the water is dried up.,
,Add seasoning and salt to taste, and stir very well. Add the meat, fry for a minute, then remove from the heat.   ,
"
"
                Spicy Pomo Sauce
            ","
                    If you like spicy food, you’re going to love this pomo sauce recipe. The combination of iru and red peppers add some lovely aromas to the dish, making it a meal worth remembering. The spicy pomo is heavenly with rice, boiled plantain, yam or pasta - so serve, tuck in and enjoy.
                ","
                ,8 medium pomo (cow skin),
6 medium fresh tomatoes,
3 medium fresh peppers (rodo),
,
                ,½ cup crayfish,
½ cup iru (locust beans),
2 cooking spoons groundnut oil,
                ,1 medium onion,
Seasoning/salt to taste","Wash the pomo and cut into small pieces. Spice and boil for 5 minutes with a little water.,
,Blend the tomatoes, pepper, crayfish and half the onion.,
,Wash the iru and set aside.,
,Fry the oil and remaining onion in a clean pan. Add the iru.,
,After 2 minutes, add the blended mixture and fry for 15 minutes. Add the boiled pomo.,
,Add seasoning and salt to taste. Fry for another 5 minutes."
"
                Spicy Prawns in Chilli Sauce
            ","
                    Is there anything that beats the taste of fresh seafood? In this spicy prawn recipe, we’ll show you how to master chilli sauce too, so you can serve your dish with a smile - whether you’re having it as a snack or a mouth-watering main meal. Serve it with pasta or rice.
                ","
                ,20 medium fresh prawns,
4 medium rodo (Scotch bonnet pepper),
2 medium fresh tomatoes,
,
                ,2 medium tatashe (bell pepper),
1 cooking spoon groundnut oil,
1 small onion,
                ,½ teaspoon blended ginger/garlic mix,
Seasoning/salt to taste","Wash and spice the prawns, then set aside for 15 minutes before frying.,
,Blend the rodo, tomatoes, onion and tatashe.,
,In a clean pot, add the oil (part of the oil used for frying the prawns).,
,Add the blended mix, ginger/garlic and allow frying for 15 minutes (until the water in it dries up).,
,Add the fried prawn, stir, add seasoning and salt to taste (taste before adding seasoning because the prawns are already spicy), allow frying for 2 minutes."
"
                Steak and Nut Stir-fry
            ","
                    Savour delicious Asian flavours with this tasty steak stir-fry. Made with the right sauces, fresh garlic, chilli peppers and lime juice, this dish is bursting with flavour and makes for a great dinner recipe. Be sure to use toasted cashew nuts if you want to perfect this meal - their unique, smokey flavour is something truly special.
                ","
                ,500 g steak of your choice,
30 ml (2 tbsp.) sesame oil,
30 ml (2 tbsp.) cooking oil,
8 spring onions, roughly chopped,
2 cloves garlic, finely chopped,
,
                ,3 chillies, finely chopped,
1 red pepper, cut into thin strips,
30 ml (2 tbsp.) oyster sauce,
15 ml (1 tbsp.) soy sauce,
10 ml (2 tsp.) honey,
,
                ,7 ml (1½ tsp.) lime juice,
7 ml (1½ tsp.) grated lime zest,
60 ml (¼ cup) toasted cashew nuts,
125 ml (½ cup) bean sprouts,
30 ml (2 tbsp.) fresh coriander","Cut the steak into thin strips and set aside.,
,Heat a little sesame and cooking oil in a wok or pan until very hot.,
,Fry the spring onions and garlic for a few seconds and remove from the pan.,
,Heat a little more oil and fry small batches of the steak over high heat for a few seconds and remove from the pan.,
,Heat a little more oil and flash-fry the chillies and red pepper.,
,Return the spring onions and garlic to the pan and add the oyster and soy sauces, honey and lime juice and zest and stir-fry for 1 minute.,
,Return the steak to the pan and add the nuts, bean sprouts and coriander. Stir-fry over high heat until just mixed.,
,Serve with steamed rice or noodles."
